busstop,lat,lon
"Sadhashivanagar,SADASHIVA NAGARA,BESIDE GIRI DENTAL CLINIC",13.0085703079,77.5802864693
"Bashayam Circle Sadashiva Nagara,SADASHIVA NAGARA,BESIDE SANKEY APARTMENTS",13.006151123,77.5794438366
"RM Guttahalli,PALACE GUTTAHALLI,BESIDE OPEN AREA",12.9997240473,77.5842970423
Ganesha Temple,12.99517,77.59201
Contonment Railway Station,12.99385097,77.59725653
CSI Hospital,12.98983516,77.59938044
Indian Express,12.98419508,77.59868865
Shivajinagar Bus Station,12.98368012,77.6035693
Maniksha Parade Ground,12.97739,77.60818
Mayohall,12.9720408,77.61065209
DSouza Circle,12.9666875062731,77.6094521290397
"Elgin Floor Mill,LANGFORD TOWN SHANTHI NAGARA,OPPOSITE OF CROPS OF MILITARY SCHOOL",12.9582152041573,77.6061754518621
Tollgate Adugodi,12.95233248,77.60532533
Adugodi,12.94456541,77.60754263
Audugodi Police Station,12.93966396,77.60969673
"Jyothi nivas College,KORAMANGALA,IN FRONT OF BHARAT PETROL BUNK",12.9356079362,77.6146632526
"Koramangala Kalyana Mantapa,KORAMANGALA,IN FRONT OF BBMP PARK",12.9372833949,77.6183693949
"Koramangala Police Station,KORAMANGALA,IN FRONT OF BETHANY HIGH SCHOOL",12.9413084686,77.6210900769
BMTC Depot-15,12.94081834,77.6246332
"Jn of 80 and 100 Feet Road,KORAMANGALA RING ROAD,BESIDE SONY CENTER",12.9370173533,77.6268397272
"Canara Bank Koramangala,KORAMANGALA RING ROAD,BESIDE CANARABANK",12.9342348967,77.6238464657
"BDA Complex koramangala,KORAMANGALA RING ROAD,BESIDE BDA COMPLEX",12.9311505239,77.6224947162
"Koramangala Water Tank,KORAMANGALA RING ROAD,BESIDE WATER TANK",12.9278939869,77.621227121
Krupanidhi College,12.92377,77.62812315
Madiwala MARKET,12.92174684,77.62170076
"Central Silk Board,BTM LAYOUT, MADIWALA,IN FRONT OF CENTRAL SILK BOARD",12.9165109154049,77.6210663884489
"BTM Layout,BTM Layout 2nd Stage,Kuvempunagara Bus Stand",12.916211,77.615991
